Location,Location_ID,Date,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
"Adilabad, Telangana, India",0,2020-01-12,155,456.175416666667,0.458333333333333,11.5325,73.9845833333333,14.1191666666667,64.3166666666667,71.2445833333333,7.49833333333333
"Karimnagar, Telangana, India",1,2020-01-12,175,720.283333333333,1.47,17.6775,48.8166666666667,7.00166666666667,101.994166666667,115.704583333333,14.7108333333333
"Khammam, Telangana, India",2,2020-01-12,160,463.965,0.10875,6.39583333333333,56.2370833333333,3.27458333333333,75.0475,81.2508333333333,3.19208333333333
"Nizamabad, Telangana, India",3,2020-01-12,160,584.543333333333,0.41125,9.45541666666667,59.755,10.2591666666667,74.22,87.46875,15.0495833333333
"Warangal, Telangana, India",4,2020-01-12,168,641.704166666667,0.205416666666667,15.1779166666667,52.8225,6.45833333333333,88.81125,98.9579166666667,5.28458333333333
"Adilabad, Telangana, India",0,2020-02-12,174,550.330416666667,0.5875,14.9,79.9375,26.2466666666667,101.804166666667,110.420416666667,7.36291666666667
"Karimnagar, Telangana, India",1,2020-02-12,186,789.542916666667,1.20916666666667,26.8183333333333,75.0025,23.3170833333333,123.861666666667,138.900416666667,13.4620833333333
"Khammam, Telangana, India",2,2020-02-12,157,413.34,0.11625,4.98458333333333,59.2845833333333,2.16375,68.7770833333333,73.6704166666667,3.565
"Nizamabad, Telangana, India",3,2020-02-12,178,685.235416666667,0.445,12.8475,74.3808333333333,12.4166666666667,108.79875,124.928333333333,25.23375
"Warangal, Telangana, India",4,2020-02-12,177,626.96375,0.345833333333333,13.95875,69.6675,8.04416666666667,106.626666666667,116.181666666667,5.555
"Adilabad, Telangana, India",0,2020-03-12,179,544.209583333333,0.65875,15.1008333333333,87.4408333333333,22.1891666666667,110.429166666667,119.453333333333,8.76416666666667
"Karimnagar, Telangana, India",1,2020-03-12,196,792.88125,1.34958333333333,26.6179166666667,79.2633333333333,28.34,142.815833333333,158.2175,16.4558333333333
"Khammam, Telangana, India",2,2020-03-12,185,517.50875,0.118333333333333,6.56916666666667,83.4475,5.45333333333333,121.830833333333,129.350833333333,5.96833333333333
"Nizamabad, Telangana, India",3,2020-03-12,181,693.30125,0.453333333333333,12.6054166666667,68.1691666666667,12.5583333333333,115.120833333333,131.2725,20.7191666666667
"Warangal, Telangana, India",4,2020-03-12,182,624.5975,0.765,12.5708333333333,68.5375,6.36666666666667,115.64625,125.28125,7.02791666666667
"Adilabad, Telangana, India",0,2020-04-12,177,530.443333333333,0.365416666666667,14.9970833333333,89.7941666666667,24.1116666666667,106.7475,115.307083333333,7.15708333333333
"Karimnagar, Telangana, India",1,2020-04-12,193,768.265833333333,0.569166666666667,23.7229166666667,78.8566666666667,22.01375,136.691666666667,149.933333333333,16.6025
"Khammam, Telangana, India",2,2020-04-12,186,520.29,0.177083333333333,6.18291666666667,82.5983333333333,3.22,123.619166666667,130.14625,6.69333333333333
"Nizamabad, Telangana, India",3,2020-04-12,187,667.5725,0.25625,12.0795833333333,63.74,11.6808333333333,124.752916666667,140.264583333333,15.3058333333333
"Warangal, Telangana, India",4,2020-04-12,184,761.032916666667,0.639583333333333,20.2441666666667,51.9279166666667,7.13916666666667,120.08875,131.90125,15.44125
"Adilabad, Telangana, India",0,2020-05-12,164,489.8325,0.255833333333333,11.06375,87.0833333333333,16.1933333333333,81.3229166666667,88.0816666666667,8.14
"Karimnagar, Telangana, India",1,2020-05-12,188,753.52375,1.005,19.4391666666667,75.9104166666667,10.3233333333333,126.714583333333,138.909166666667,15.5275
"Khammam, Telangana, India",2,2020-05-12,180,480.791666666667,0.10625,4.60208333333333,71.4225,3.63875,112.929166666667,119.242083333333,2.51791666666667
"Nizamabad, Telangana, India",3,2020-05-12,173,622.511666666667,0.305833333333333,11.3020833333333,61.2358333333333,11.04875,99.36375,111.8025,22.8304166666667
"Warangal, Telangana, India",4,2020-05-12,187,685.6525,0.315,12.6716666666667,65.6770833333333,3.7475,126.015833333333,136.101666666667,6.59166666666667
"Adilabad, Telangana, India",0,2020-06-12,156,437.677916666667,0.19,10.04375,74.3729166666667,10.5358333333333,67.5495833333333,72.92875,7.64958333333333
"Karimnagar, Telangana, India",1,2020-06-12,192,756.164583333333,0.773333333333333,18.67625,75.8020833333333,7.3975,135.619583333333,147.329583333333,18.4320833333333
"Khammam, Telangana, India",2,2020-06-12,174,422.93625,0.0608333333333333,3.68041666666667,73.4479166666667,2.43125,101.22625,106.265833333333,1.86208333333333
"Nizamabad, Telangana, India",3,2020-06-12,179,571.330833333333,0.3575,8.19,80.1345833333333,11.07,110.572083333333,121.18375,12.9433333333333
"Warangal, Telangana, India",4,2020-06-12,182,670.770416666667,0.408333333333333,15.9370833333333,58.4475,2.78958333333333,116.809583333333,125.835416666667,10.32
"Adilabad, Telangana, India",0,2020-07-12,180,551.304166666667,0.3425,15.52125,91.4633333333333,32.11875,112.941666666667,121.047083333333,9.02125
"Karimnagar, Telangana, India",1,2020-07-12,184,724.73375,0.556666666666667,26.5208333333333,61.3558333333333,16.5241666666667,120.708333333333,134.083333333333,11.6516666666667
"Khammam, Telangana, India",2,2020-07-12,166,424.744166666667,0.0770833333333333,4.16791666666667,71.2125,2.90708333333333,86.2366666666667,91.6633333333333,2.14166666666667
"Nizamabad, Telangana, India",3,2020-07-12,188,697.0575,0.47625,12.1883333333333,66.2475,8.91333333333333,127.913333333333,143.031666666667,22.0970833333333
"Warangal, Telangana, India",4,2020-07-12,169,564.515833333333,0.566666666666667,12.32375,64.4058333333333,4.86291666666667,91.8533333333333,100.636666666667,6.2175
"Adilabad, Telangana, India",0,2020-08-12,182,595.11375,0.864583333333333,13.3541666666667,77.995,12.0283333333333,116.970833333333,125.91875,10.3733333333333
"Karimnagar, Telangana, India",1,2020-08-12,171,695.665833333333,0.765833333333333,19.9220833333333,57.32875,6.66375,96.2008333333333,109.324166666667,12.42125
"Khammam, Telangana, India",2,2020-08-12,164,458.53875,0.101666666666667,6.00958333333333,75.1320833333333,5.71458333333333,82.2495833333333,88.5425,3.60166666666667
"Nizamabad, Telangana, India",3,2020-08-12,188,664.512083333333,0.428333333333333,11.4716666666667,71.15375,11.4104166666667,127.31375,142.144166666667,19.10875
"Warangal, Telangana, India",4,2020-08-12,163,617.644166666667,0.3375,16.5020833333333,64.2845833333333,6.90416666666667,79.74375,89.2591666666667,9.04916666666667
"Adilabad, Telangana, India",0,2020-09-12,178,583.708333333333,1.27333333333333,14.865,87.29125,28.1095833333333,108.69625,116.8,11.6741666666667
"Karimnagar, Telangana, India",1,2020-09-12,160,653.526666666667,1.27125,20.9204166666667,57.79375,7.97041666666667,75.2025,86.4279166666667,13.09625
"Khammam, Telangana, India",2,2020-09-12,171,530.443333333333,0.119166666666667,8.7725,67.1454166666667,6.12208333333333,95.1520833333333,102.459583333333,3.83916666666667
"Nizamabad, Telangana, India",3,2020-09-12,162,596.364583333333,0.615833333333333,10.8183333333333,63.7291666666667,6.92166666666667,77.4091666666667,89.5595833333333,20.735
"Warangal, Telangana, India",4,2020-09-12,165,661.593333333333,0.843333333333333,20.2754166666667,63.1808333333333,7.56125,84.1716666666667,95.1004166666667,12.8133333333333
"Adilabad, Telangana, India",0,2020-10-12,179,578.285416666667,0.925416666666667,14.0566666666667,81.8445833333333,26.4945833333333,110.594583333333,119.695,8.19791666666667
"Karimnagar, Telangana, India",1,2020-10-12,165,689.268333333333,1.08458333333333,20.37125,55.1525,7.98,84.72875,96.39875,11.7295833333333
"Khammam, Telangana, India",2,2020-10-12,192,679.11625,0.196666666666667,10.19625,73.06875,8.90833333333333,134.9375,145.335,3.06916666666667
"Nizamabad, Telangana, India",3,2020-10-12,166,587.881666666667,0.487916666666667,10.8666666666667,75.7833333333333,14.4125,86.0541666666667,98.0979166666667,22.2420833333333
"Warangal, Telangana, India",4,2020-10-12,168,566.742083333333,0.27625,13.9566666666667,75.4604166666667,5.94458333333333,90.3133333333333,98.82375,8.54875
"Adilabad, Telangana, India",0,2020-11-12,173,527.24375,0.24625,14.5970833333333,81.18125,16.365,98.5554166666667,107.427083333333,11.3158333333333
"Karimnagar, Telangana, India",1,2020-11-12,177,549.913333333333,0.375,13.4191666666667,76.0554166666667,5.54041666666667,105.998333333333,116.549166666667,8.54458333333333
"Khammam, Telangana, India",2,2020-11-12,197,552.694166666667,0.110833333333333,8.185,75.9079166666667,5.51958333333333,144.795416666667,155.30625,1.415
"Nizamabad, Telangana, India",3,2020-11-12,172,552.55625,0.337916666666667,6.77458333333333,80.6158333333333,4.8775,97.2391666666667,106.511666666667,10.2608333333333
"Warangal, Telangana, India",4,2020-11-12,182,542.263333333333,0.209166666666667,10.5641666666667,85.2645833333333,5.05833333333333,116.5125,126.035,4.855
"Adilabad, Telangana, India",0,2020-11-25,225,548.522222222222,0.423888888888889,10.6266666666667,128.548888888889,19.4216666666667,144.431111111111,152.177222222222,3.07444444444444
"Karimnagar, Telangana, India",1,2020-11-25,183,672.393888888889,0.338333333333333,21.0127777777778,88.9105555555556,16.3238888888889,118.125,129.295555555556,10.5666666666667
"Khammam, Telangana, India",2,2020-11-25,160,421.497222222222,0.0477777777777777,3.10388888888889,82.8522222222222,1.76333333333333,73.8466666666667,78.185,3.21611111111111
"Nizamabad, Telangana, India",3,2020-11-25,196,530.350555555556,0.170555555555555,6.36722222222222,103.314444444444,6.65277777777778,112.077222222222,121.744444444444,8.52611111111111
"Warangal, Telangana, India",4,2020-11-25,164,602.484444444444,0.281111111111111,15.2222222222222,63.0761111111111,3.52333333333333,81.2083333333333,89.9455555555556,11.2633333333333
"Adilabad, Telangana, India",0,2020-11-26,203,569.8025,0.164166666666667,10.84375,88.0375,18.9083333333333,153.727083333333,159.732083333333,2.26666666666667
"Karimnagar, Telangana, India",1,2020-11-26,165,550.746666666667,0.075,14.3575,44.6295833333333,12.8745833333333,84.0325,91.02375,7.96458333333333
"Khammam, Telangana, India",2,2020-11-26,133,390.252083333333,0.0229166666666666,1.81291666666667,68.055,0.740416666666667,48.4970833333333,49.3583333333333,0.974583333333333
"Nizamabad, Telangana, India",3,2020-11-26,182,494.003333333333,0.0516666666666666,6.56958333333333,72.585,8.70833333333333,116.275833333333,123.022083333333,6.76333333333333
"Warangal, Telangana, India",4,2020-11-26,123,428.499166666667,0.0249999999999999,6.6775,50.9070833333333,1.12416666666667,44.7625,47.9395833333333,4.15666666666667
"Adilabad, Telangana, India",0,2020-11-27,187,472.03,0.390833333333333,18.6145833333333,67.5629166666667,39.19125,126.05375,129.976666666667,0.0270833333333333
"Karimnagar, Telangana, India",1,2020-11-27,187,552.83375,0.207916666666667,17.315,54.7770833333333,27.9441666666667,126.63875,129.767916666667,1.74125
"Khammam, Telangana, India",2,2020-11-27,67,344.912916666667,0.0141666666666666,1.50291666666667,42.06625,0.315,19.9966666666667,20.4133333333333,0.6875
"Nizamabad, Telangana, India",3,2020-11-27,179,468.97125,0.05125,6.89416666666667,68.8733333333333,15.2891666666667,109.832083333333,112.41125,0.41875
"Warangal, Telangana, India",4,2020-11-27,153,398.317916666667,0.0179166666666666,2.56791666666667,44.2270833333333,0.880833333333333,61.8266666666667,63.0133333333333,1.52791666666667
"Adilabad, Telangana, India",0,2020-11-28,159,379.265833333333,0.404583333333333,9.71166666666667,70.1108333333333,20.1229166666667,71.88125,75.3825,2.65791666666667
