,Region,Month,Year,Start_Date,End_Date,Start_Date_Unix,End_Date_Unix,Full Location,LatLong
0,Adilabad,JAN,2022,01-01-22,31-01-22,1640975400,1643567400,"Adilabad, Telangana, India",lat=19.5&lon=78.5
1,Adilabad,FEB,2022,01-02-22,28-02-22,1643653800,1645986600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
2,Adilabad,MAR,2022,01-03-22,31-03-22,1646073000,1648665000,"Adilabad, Telangana, India",lat=19.5&lon=78.5
3,Adilabad,APR,2022,01-04-22,30-04-22,1648751400,1651257000,"Adilabad, Telangana, India",lat=19.5&lon=78.5
4,Adilabad,MAY,2022,01-05-22,31-05-22,1651343400,1653935400,"Adilabad, Telangana, India",lat=19.5&lon=78.5
5,Adilabad,JUN,2022,01-06-22,30-06-22,1654021800,1656527400,"Adilabad, Telangana, India",lat=19.5&lon=78.5
6,Adilabad,JUL,2022,01-07-22,31-07-22,1656613800,1659205800,"Adilabad, Telangana, India",lat=19.5&lon=78.5
7,Adilabad,AUG,2022,01-08-22,31-08-22,1659292200,1661884200,"Adilabad, Telangana, India",lat=19.5&lon=78.5
8,Adilabad,SEP,2022,01-09-22,30-09-22,1661970600,1664476200,"Adilabad, Telangana, India",lat=19.5&lon=78.5
9,Adilabad,OCT,2022,01-10-22,31-10-22,1664562600,1667154600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
10,Adilabad,NOV,2022,01-11-22,30-11-22,1667241000,1669746600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
11,Adilabad,DEC,2022,01-12-22,31-12-22,1669833000,1672425000,"Adilabad, Telangana, India",lat=19.5&lon=78.5
12,Nizamabad,JAN,2022,01-01-22,31-01-22,1640975400,1643567400,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
13,Nizamabad,FEB,2022,01-02-22,28-02-22,1643653800,1645986600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
14,Nizamabad,MAR,2022,01-03-22,31-03-22,1646073000,1648665000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
15,Nizamabad,APR,2022,01-04-22,30-04-22,1648751400,1651257000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
16,Nizamabad,MAY,2022,01-05-22,31-05-22,1651343400,1653935400,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
17,Nizamabad,JUN,2022,01-06-22,30-06-22,1654021800,1656527400,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
18,Nizamabad,JUL,2022,01-07-22,31-07-22,1656613800,1659205800,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
19,Nizamabad,AUG,2022,01-08-22,31-08-22,1659292200,1661884200,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
20,Nizamabad,SEP,2022,01-09-22,30-09-22,1661970600,1664476200,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
21,Nizamabad,OCT,2022,01-10-22,31-10-22,1664562600,1667154600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
22,Nizamabad,NOV,2022,01-11-22,30-11-22,1667241000,1669746600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
23,Nizamabad,DEC,2022,01-12-22,31-12-22,1669833000,1672425000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
24,Warangal,JAN,2022,01-01-22,31-01-22,1640975400,1643567400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
25,Warangal,FEB,2022,01-02-22,28-02-22,1643653800,1645986600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
26,Warangal,MAR,2022,01-03-22,31-03-22,1646073000,1648665000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
27,Warangal,APR,2022,01-04-22,30-04-22,1648751400,1651257000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
28,Warangal,MAY,2022,01-05-22,31-05-22,1651343400,1653935400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
29,Warangal,JUN,2022,01-06-22,30-06-22,1654021800,1656527400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
30,Warangal,JUL,2022,01-07-22,31-07-22,1656613800,1659205800,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
31,Warangal,AUG,2022,01-08-22,31-08-22,1659292200,1661884200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
32,Warangal,SEP,2022,01-09-22,30-09-22,1661970600,1664476200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
33,Warangal,OCT,2022,01-10-22,31-10-22,1664562600,1667154600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
34,Warangal,NOV,2022,01-11-22,30-11-22,1667241000,1669746600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
35,Warangal,DEC,2022,01-12-22,31-12-22,1669833000,1672425000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
36,Warangal,JAN,2022,01-01-22,31-01-22,1640975400,1643567400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
37,Warangal,FEB,2022,01-02-22,28-02-22,1643653800,1645986600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
38,Warangal,MAR,2022,01-03-22,31-03-22,1646073000,1648665000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
39,Warangal,APR,2022,01-04-22,30-04-22,1648751400,1651257000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
40,Warangal,MAY,2022,01-05-22,31-05-22,1651343400,1653935400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
41,Warangal,JUN,2022,01-06-22,30-06-22,1654021800,1656527400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
42,Warangal,JUL,2022,01-07-22,31-07-22,1656613800,1659205800,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
43,Warangal,AUG,2022,01-08-22,31-08-22,1659292200,1661884200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
44,Warangal,SEP,2022,01-09-22,30-09-22,1661970600,1664476200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
45,Warangal,OCT,2022,01-10-22,31-10-22,1664562600,1667154600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
46,Warangal,NOV,2022,01-11-22,30-11-22,1667241000,1669746600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
47,Warangal,DEC,2022,01-12-22,31-12-22,1669833000,1672425000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
48,Karimnagar,JAN,2022,01-01-22,31-01-22,1640975400,1643567400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
49,Karimnagar,FEB,2022,01-02-22,28-02-22,1643653800,1645986600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
50,Karimnagar,MAR,2022,01-03-22,31-03-22,1646073000,1648665000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
51,Karimnagar,APR,2022,01-04-22,30-04-22,1648751400,1651257000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
52,Karimnagar,MAY,2022,01-05-22,31-05-22,1651343400,1653935400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
53,Karimnagar,JUN,2022,01-06-22,30-06-22,1654021800,1656527400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
54,Karimnagar,JUL,2022,01-07-22,31-07-22,1656613800,1659205800,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
55,Karimnagar,AUG,2022,01-08-22,31-08-22,1659292200,1661884200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
56,Karimnagar,SEP,2022,01-09-22,30-09-22,1661970600,1664476200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
57,Karimnagar,OCT,2022,01-10-22,31-10-22,1664562600,1667154600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
