Region,Sation,Month,Year,SQ2,NOx,PM10,PM2.5,NH3,AQI
Adilabad,Mandamarri,JAN,2022,,,,,,
Adilabad,Mandamarri,FEB,2022,,,,,,
Adilabad,Mandamarri,MAR,2022,8.2,25.6,56,,14,56
Adilabad,Mandamarri,APR,2022,9.5,28.2,65,,18,65
Adilabad,Mandamarri,MAY,2022,7.9,26.5,60,,14,60
Adilabad,Mandamarri,JUN,2022,8.6,25,57,31,16,58
Adilabad,Mandamarri,JUL,2022,6.8,23.1,48,26,15,48
Adilabad,Mandamarri,AUG,2022,8.5,26.2,56,31,17,56
Adilabad,Mandamarri,SEP,2022,9.7,27.5,54,33,19,56
Adilabad,Mandamarri,OCT,2022,10.9,29.3,62,38,21,65
Adilabad,Mandamarri,NOV,2022,7.5,26.4,58,32,18,58
Adilabad,Mandamarri,DEC,2022,9.5,25.3,62,33,20,62
Nizamabad,Subhasnagar,JAN,2022,6.9,25.5,56,,14,56
Nizamabad,Subhasnagar,FEB,2022,7.5,27.5,59,,15,59
Nizamabad,Subhasnagar,MAR,2022,6.6,26.1,64,,17,64
Nizamabad,Subhasnagar,APR,2022,7.8,24,58,,16,58
Nizamabad,Subhasnagar,MAY,2022,7.3,24.6,56,,14,56
Nizamabad,Subhasnagar,JUN,2022,6,23.4,52,30,15,54
Nizamabad,Subhasnagar,JUL,2022,5.5,21.3,46,24,13,46
Nizamabad,Subhasnagar,AUG,2022,6.7,23.3,52,28,14,53
Nizamabad,Subhasnagar,SEP,2022,7.9,25,51,31,16,54
Nizamabad,Subhasnagar,OCT,2022,8.6,27.4,61,35,18,63
Nizamabad,Subhasnagar,NOV,2022,6.8,25,56,30,16,56
Nizamabad,Subhasnagar,DEC,2022,7.5,22.6,60,29,17,59
Warangal,KUDA,JAN,2022,4.8,28.9,56,,34,58
Warangal,KUDA,FEB,2022,6,27.2,63,,39,64
Warangal,KUDA,MAR,2022,5.7,26.4,49,,39,49
Warangal,KUDA,APR,2022,6,25.4,66,,40,66
Warangal,KUDA,MAY,2022,6,28,53,,40,54
Warangal,KUDA,JUN,2022,5.8,29.5,72,,39,72
Warangal,KUDA,JUL,2022,6.4,29.5,38,,37,40
Warangal,KUDA,AUG,2022,5.5,28.9,43,,25,43
Warangal,KUDA,SEP,2022,6,27.9,39,,31,41
Warangal,KUDA,OCT,2022,5,27.8,63,39,39,64
Warangal,KUDA,NOV,2022,4.4,24,49,49,40,49
Warangal,KUDA,DEC,2022,4.8,25.4,68,63,38,116
Warangal,Mee-Seva,JAN,2022,7.1,31.8,73,39,36,73
Warangal,Mee-Seva,FEB,2022,8.4,31,73,,49,73
Warangal,Mee-Seva,MAR,2022,8,33.1,76,,39,76
Warangal,Mee-Seva,APR,2022,7.6,34.2,60,,40,60
Warangal,Mee-Seva,MAY,2022,7.8,34.2,77,,40,77
Warangal,Mee-Seva,JUN,2022,7.5,34.7,85,,39,85
Warangal,Mee-Seva,JUL,2022,7.2,30.2,47,,36,47
Warangal,Mee-Seva,AUG,2022,6.5,26.6,56,,23,56
Warangal,Mee-Seva,SEP,2022,7.1,29.9,48,,27,48
Warangal,Mee-Seva,OCT,2022,7.9,32.2,63,,39,64
Warangal,Mee-Seva,NOV,2022,7.6,35,95,,37,94
Warangal,Mee-Seva,DEC,2022,8.3,32.6,95,,35,94
Karimnagar,Godavarikhani,JAN,2022,8.1,42.5,95,,38,94
Karimnagar,Godavarikhani,FEB,2022,8.4,46.4,116,42,41,109
Karimnagar,Godavarikhani,MAR,2022,7.6,41,89,44,40,88
Karimnagar,Godavarikhani,APR,2022,7.6,40.5,67,,42,67
Karimnagar,Godavarikhani,MAY,2022,7.8,48.5,73,,43,76
Karimnagar,Godavarikhani,JUN,2022,7.4,45.1,88,,43,86
Karimnagar,Godavarikhani,JUL,2022,7.4,42.8,68,20,40,68
Karimnagar,Godavarikhani,AUG,2022,7.4,41.4,47,41,34,54
Karimnagar,Godavarikhani,SEP,2022,7.5,43.5,45,49,40,55
Karimnagar,Godavarikhani,OCT,2022,7.6,43.6,52,72,43,61
Karimnagar,Godavarikhani,NOV,2022,8,45.2,122,59,40,114
Karimnagar,Godavarikhani,DEC,2022,7.4,47.6,135,54,42,124
Karimnagar,DIC Building,JAN,2022,7.8,30.3,82,42,32,82
Karimnagar,DIC Building,FEB,2022,6.4,27.9,92,47,22,90
Karimnagar,DIC Building,MAR,2022,6.8,26.7,99,44,23,96
Karimnagar,DIC Building,APR,2022,8,28.4,70,33,24,70
Karimnagar,DIC Building,MAY,2022,6.3,26.8,78,36,20,76
Karimnagar,DIC Building,JUN,2022,6.4,32,92,43,31,89
Karimnagar,DIC Building,JUL,2022,7,29.3,69,,33,69
Karimnagar,DIC Building,AUG,2022,6,27.4,55,29,19,55
Karimnagar,DIC Building,SEP,2022,6.7,29.9,58,48,20,58
Karimnagar,DIC Building,OCT,2022,6.7,30.6,62,40,29,63
Karimnagar,DIC Building,NOV,2022,6.2,26.1,103,32,22,101
Karimnagar,DIC Building,DEC,2022,6.2,32.7,139,48,35,126
Khammam,Jalasouda,JAN,2022,6.8,29.8,80,,45,80
