,Region,Month,Year,Start_Date,End_Date,Start_Date_Unix,End_Date_Unix,Full Location,LatLong
0,Adilabad,JAN,2023,01-01-23,31-01-23,1672511400,1675103400,"Adilabad, Telangana, India",lat=19.5&lon=78.5
1,Adilabad,FEB,2023,01-02-23,28-02-23,1675189800,1677522600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
2,Nizamabad,JAN,2023,01-01-23,31-01-23,1672511400,1675103400,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
3,Nizamabad,FEB,2023,01-02-23,28-02-23,1675189800,1677522600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
4,Warangal,JAN,2023,01-01-23,31-01-23,1672511400,1675103400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
5,Warangal,FEB,2023,01-02-23,28-02-23,1675189800,1677522600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
6,Warangal,JAN,2023,01-01-23,31-01-23,1672511400,1675103400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
7,Warangal,FEB,2023,01-02-23,28-02-23,1675189800,1677522600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
8,Karimnagar,JAN,2023,01-01-23,31-01-23,1672511400,1675103400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
9,Karimnagar,FEB,2023,01-02-23,28-02-23,1675189800,1677522600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
10,Karimnagar,JAN,2023,01-01-23,31-01-23,1672511400,1675103400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
11,Karimnagar,FEB,2023,01-02-23,28-02-23,1675189800,1677522600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
12,Khammam,JAN,2023,01-01-23,31-01-23,1672511400,1675103400,"Khammam, Telangana, India",lat=17.5&lon=80.333333
13,Khammam,FEB,2023,01-02-23,28-02-23,1675189800,1677522600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
14,Adilabad,JAN,2022,01-01-22,31-01-22,1640975400,1643567400,"Adilabad, Telangana, India",lat=19.5&lon=78.5
15,Adilabad,FEB,2022,01-02-22,28-02-22,1643653800,1645986600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
16,Adilabad,MAR,2022,01-03-22,31-03-22,1646073000,1648665000,"Adilabad, Telangana, India",lat=19.5&lon=78.5
17,Adilabad,APR,2022,01-04-22,30-04-22,1648751400,1651257000,"Adilabad, Telangana, India",lat=19.5&lon=78.5
18,Adilabad,MAY,2022,01-05-22,31-05-22,1651343400,1653935400,"Adilabad, Telangana, India",lat=19.5&lon=78.5
19,Adilabad,JUN,2022,01-06-22,30-06-22,1654021800,1656527400,"Adilabad, Telangana, India",lat=19.5&lon=78.5
20,Adilabad,JUL,2022,01-07-22,31-07-22,1656613800,1659205800,"Adilabad, Telangana, India",lat=19.5&lon=78.5
21,Adilabad,AUG,2022,01-08-22,31-08-22,1659292200,1661884200,"Adilabad, Telangana, India",lat=19.5&lon=78.5
22,Adilabad,SEP,2022,01-09-22,30-09-22,1661970600,1664476200,"Adilabad, Telangana, India",lat=19.5&lon=78.5
23,Adilabad,OCT,2022,01-10-22,31-10-22,1664562600,1667154600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
24,Adilabad,NOV,2022,01-11-22,30-11-22,1667241000,1669746600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
25,Adilabad,DEC,2022,01-12-22,31-12-22,1669833000,1672425000,"Adilabad, Telangana, India",lat=19.5&lon=78.5
26,Nizamabad,JAN,2022,01-01-22,31-01-22,1640975400,1643567400,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
27,Nizamabad,FEB,2022,01-02-22,28-02-22,1643653800,1645986600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
28,Nizamabad,MAR,2022,01-03-22,31-03-22,1646073000,1648665000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
29,Nizamabad,APR,2022,01-04-22,30-04-22,1648751400,1651257000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
30,Nizamabad,MAY,2022,01-05-22,31-05-22,1651343400,1653935400,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
31,Nizamabad,JUN,2022,01-06-22,30-06-22,1654021800,1656527400,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
32,Nizamabad,JUL,2022,01-07-22,31-07-22,1656613800,1659205800,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
33,Nizamabad,AUG,2022,01-08-22,31-08-22,1659292200,1661884200,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
34,Nizamabad,SEP,2022,01-09-22,30-09-22,1661970600,1664476200,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
35,Nizamabad,OCT,2022,01-10-22,31-10-22,1664562600,1667154600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
36,Nizamabad,NOV,2022,01-11-22,30-11-22,1667241000,1669746600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
37,Nizamabad,DEC,2022,01-12-22,31-12-22,1669833000,1672425000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
38,Warangal,JAN,2022,01-01-22,31-01-22,1640975400,1643567400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
39,Warangal,FEB,2022,01-02-22,28-02-22,1643653800,1645986600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
40,Warangal,MAR,2022,01-03-22,31-03-22,1646073000,1648665000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
41,Warangal,APR,2022,01-04-22,30-04-22,1648751400,1651257000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
42,Warangal,MAY,2022,01-05-22,31-05-22,1651343400,1653935400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
43,Warangal,JUN,2022,01-06-22,30-06-22,1654021800,1656527400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
44,Warangal,JUL,2022,01-07-22,31-07-22,1656613800,1659205800,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
45,Warangal,AUG,2022,01-08-22,31-08-22,1659292200,1661884200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
