Date time,Address,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
2019-01-01,Khammam,16.27777777777778,24.61111111111111,20.444444444444443,54.2,60.29,,0.4,,185.0,,0.0,0.0,,6.1,2.7,1019.1,Smoke Or Haze,17.1923,80.3452,"Khammam, Telangana, India","Khammam, Telangana, India",,Clear
2019-01-02,Khammam,18.111111111111107,25.55555555555556,21.83333333333333,59.8,67.83,,0.4,,205.0,,0.0,0.0,,5.7,3.9,1018.7,"Mist, Smoke Or Haze",17.1923,80.3452,"Khammam, Telangana, India","Khammam, Telangana, India",,Clear
2019-01-03,Khammam,18.22222222222222,26.166666666666664,22.22222222222222,61.9,72.13,,0.3,,205.0,,0.0,0.0,,6.1,5.6,1018.8,"Mist, Smoke Or Haze",17.1923,80.3452,"Khammam, Telangana, India","Khammam, Telangana, India",,Clear
2019-01-04,Khammam,18.277777777777786,26.444444444444443,22.333333333333336,61.7,71.29,,0.2,,320.0,,0.0,0.0,,4.0,3.0,1018.5,"Mist, Smoke Or Haze",17.1923,80.3452,"Khammam, Telangana, India","Khammam, Telangana, India",,Clear
2019-01-05,Khammam,18.277777777777786,26.166666666666664,22.22222222222222,64.1,78.56,,0.8,,320.0,,0.0,0.0,,3.3,36.1,1017.1,"Mist, Fog, Smoke Or Haze",17.1923,80.3452,"Khammam, Telangana, India","Khammam, Telangana, India",,Partially cloudy
2019-01-06,Khammam,20.27777777777778,25.666666666666668,22.944444444444443,65.4,77.47,,0.2,,50.0,,0.0,0.0,,5.6,6.7,1015.6,"Mist, Smoke Or Haze",17.1923,80.3452,"Khammam, Telangana, India","Khammam, Telangana, India",,Clear
2019-01-07,Khammam,19.61111111111111,26.555555555555557,23.11111111111111,64.4,74.18,,0.4,,340.0,,0.0,0.0,,6.1,3.0,1014.6,"Mist, Smoke Or Haze",17.1923,80.3452,"Khammam, Telangana, India","Khammam, Telangana, India",,Clear
2019-01-08,Khammam,19.22222222222222,25.500000000000004,22.38888888888889,61.3,70.63,,0.4,,340.0,,0.0,0.0,,5.6,3.9,1015.2,"Mist, Smoke Or Haze",17.1923,80.3452,"Khammam, Telangana, India","Khammam, Telangana, India",,Clear
2019-01-09,Khammam,18.277777777777786,28.000000000000004,23.11111111111111,55.5,55.33,81.9,1.7,,31.5,,0.0,0.0,,5.8,6.7,1014.9,Smoke Or Haze,17.1923,80.3452,"Khammam, Telangana, India","Khammam, Telangana, India",,Clear
2019-01-10,Khammam,19.111111111111114,25.88888888888889,22.5,61.3,68.98,82.5,0.4,,320.0,,0.0,0.0,,4.3,6.1,1015.0,"Mist, Smoke Or Haze",17.1923,80.3452,"Khammam, Telangana, India","Khammam, Telangana, India",,Clear
