Date time,Address,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
2019-01-01,Nizamabad,13.055555555555555,29.055555555555557,23.11111111111111,42.9,38.1,81.7,2.2,,140.0,,0.0,0.0,0.0,5.3,15.0,1018.0,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-02,Nizamabad,14.666666666666666,30.833333333333336,24.388888888888893,44.8,37.49,84.0,0.0,,230.0,,0.0,0.0,0.0,5.3,57.5,1017.4,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Partially cloudy
2019-01-03,Nizamabad,16.333333333333332,30.666666666666668,24.66666666666667,49.4,41.57,84.4,0.0,,230.0,,0.0,0.0,0.0,5.3,0.0,1018.3,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-04,Nizamabad,16.055555555555557,30.055555555555557,24.722222222222225,50.1,42.71,83.2,0.0,,230.0,,0.0,0.0,0.0,5.3,0.0,1017.0,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-05,Nizamabad,17.666666666666664,30.055555555555557,24.88888888888889,56.8,52.72,83.9,0.0,,230.0,,0.0,0.0,0.0,5.3,12.5,1015.4,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-06,Nizamabad,17.833333333333332,30.666666666666668,25.55555555555556,56.4,50.73,85.1,0.0,,230.0,,0.0,0.0,0.0,5.3,0.0,1013.4,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-07,Nizamabad,18.05555555555556,27.83333333333333,24.055555555555557,58.6,58.14,81.7,0.0,,230.0,,0.0,0.0,0.0,5.3,7.5,1013.9,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-08,Nizamabad,16.333333333333332,27.333333333333336,22.666666666666668,46.9,40.86,80.0,0.0,,50.0,,0.0,0.0,0.0,5.3,0.0,1015.2,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-09,Nizamabad,15.055555555555555,28.333333333333336,23.11111111111111,48.3,44.0,80.9,0.0,,230.0,,0.0,0.0,0.0,5.3,7.5,1014.6,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-10,Nizamabad,15.055555555555555,29.055555555555557,23.722222222222225,47.9,41.67,82.0,0.0,,50.0,,0.0,0.0,0.0,5.3,0.0,1013.7,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-11,Nizamabad,17.055555555555557,31.05555555555556,25.055555555555557,54.9,50.31,84.9,0.0,,95.0,,0.0,0.0,0.0,5.3,0.0,1013.6,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-12,Nizamabad,19.055555555555557,29.33333333333333,25.33333333333333,60.3,56.83,84.7,0.0,,140.0,,0.0,0.0,0.0,5.3,0.0,1013.3,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-13,Nizamabad,20.666666666666668,29.833333333333336,25.55555555555556,61.4,58.08,85.6,0.0,,320.0,,0.0,0.0,0.0,5.3,7.5,1014.2,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-14,Nizamabad,19.66666666666667,29.055555555555557,25.166666666666668,57.5,52.02,83.6,0.0,,320.0,,0.0,0.0,0.0,5.3,0.0,1014.1,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-15,Nizamabad,19.055555555555557,28.333333333333336,24.66666666666667,58.1,54.45,82.8,0.0,,50.0,,0.0,0.0,0.0,5.3,0.0,1015.1,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-16,Nizamabad,17.166666666666668,29.833333333333336,24.77777777777777,57.5,54.72,84.5,0.0,,320.0,,0.0,0.0,0.0,5.3,0.0,1014.7,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-17,Nizamabad,17.055555555555557,30.666666666666668,25.222222222222225,52.8,45.58,84.7,0.0,,230.0,,0.0,0.0,0.0,5.3,0.0,1012.9,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-18,Nizamabad,18.05555555555556,30.666666666666668,25.27777777777778,57.9,53.26,86.3,0.0,,230.0,,0.0,0.0,0.0,5.3,0.0,1013.7,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
2019-01-19,Nizamabad,18.166666666666668,30.055555555555557,24.833333333333336,57.1,53.07,84.8,0.0,,50.0,,0.0,0.0,0.0,5.3,0.0,1015.0,Smoke Or Haze,18.6722,78.0913,"Nizamabad, Telangana, India","Nizamabad, Telangana, India",,Clear
