Date time,Address,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
2019-01-01,Warangal Urban,11.333333333333334,26.05555555555556,18.722222222222225,45.9,54.29,,0.0,,,,0.0,0.0,,4.3,15.0,1020.4,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-02,Warangal Urban,13.055555555555555,30.33333333333333,21.72222222222222,51.3,56.18,84.6,0.0,,,,0.0,0.0,,4.3,45.0,1020.9,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-01-03,Warangal Urban,15.055555555555555,28.05555555555556,21.555555555555557,55.2,63.51,81.7,0.0,,,,0.0,0.0,,4.3,15.0,1019.2,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-04,Warangal Urban,15.055555555555555,28.05555555555556,21.555555555555557,55.2,63.51,81.7,0.0,,,,0.0,0.0,,4.3,0.0,1019.3,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-05,Warangal Urban,17.333333333333336,26.33333333333334,21.83333333333333,57.5,66.2,81.35,0.0,,,,0.0,0.0,,4.3,0.0,1018.2,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-06,Warangal Urban,18.05555555555556,27.05555555555556,22.555555555555557,59.6,67.76,81.0,0.0,,,,0.0,0.0,,4.3,15.0,1017.0,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-07,Warangal Urban,18.05555555555556,27.05555555555556,22.555555555555557,59.6,67.76,81.0,0.0,,,,0.0,0.0,,4.3,0.0,1016.5,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-08,Warangal Urban,15.055555555555555,26.05555555555556,20.55555555555556,52.7,62.24,81.1,0.0,,,,0.0,0.0,,4.3,0.0,1013.7,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-09,Warangal Urban,12.055555555555555,26.33333333333334,19.22222222222222,47.1,58.34,81.2,0.0,,,,0.0,0.0,,4.3,0.0,1017.4,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-10,Warangal Urban,12.333333333333336,26.33333333333334,19.33333333333333,53.3,65.16,81.30000000000001,0.0,,,,0.0,0.0,,4.3,15.0,1017.3,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-11,Warangal Urban,20.055555555555557,27.05555555555556,23.55555555555556,62.6,69.83,81.4,0.0,,,,0.0,0.0,,4.3,0.0,1015.9,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-12,Warangal Urban,20.33333333333333,27.05555555555556,23.722222222222225,63.2,70.14,81.7,0.0,,,,0.0,0.0,,4.3,0.0,1015.3,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-13,Warangal Urban,19.055555555555557,19.055555555555557,19.055555555555557,66.3,100.0,81.96666666666667,0.0,,,,0.0,0.0,,6.2,30.0,1018.2,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-01-14,Warangal Urban,18.333333333333336,18.333333333333336,18.333333333333336,64.1,96.91,82.23333333333333,0.0,,,,0.0,0.0,,6.2,0.0,1017.2,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-15,Warangal Urban,18.05555555555556,28.05555555555556,23.05555555555556,60.1,67.17,82.5,0.0,,,,0.0,0.0,,4.3,0.0,1016.3,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-16,Warangal Urban,16.055555555555557,28.05555555555556,22.05555555555556,52.7,59.62,80.8,0.0,,,,0.0,0.0,,4.3,0.0,1015.9,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-17,Warangal Urban,15.055555555555555,28.05555555555556,21.555555555555557,54.3,60.71,81.7,0.0,,,,0.0,0.0,,6.2,0.0,1015.7,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-18,Warangal Urban,18.05555555555556,29.055555555555557,23.55555555555556,59.4,64.99,83.6,0.0,,,,0.0,0.0,,4.3,0.0,1014.8,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-19,Warangal Urban,18.333333333333336,28.05555555555556,23.22222222222222,60.3,69.06,82.0,0.0,,,,0.0,0.0,,4.3,0.0,1015.9,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-20,Warangal Urban,15.055555555555555,29.33333333333333,22.22222222222222,52.7,59.08,82.7,0.0,,,,0.0,0.0,,4.3,0.0,1007.7,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-21,Warangal Urban,16.055555555555557,29.055555555555557,22.555555555555557,55.6,62.11,82.8,0.0,,,,0.0,0.0,,6.2,15.0,1017.4,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-22,Warangal Urban,18.05555555555556,29.33333333333333,23.722222222222225,59.8,66.3,83.9,0.0,,,,0.0,0.0,,4.3,0.0,1014.8,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-23,Warangal Urban,18.333333333333336,28.05555555555556,23.22222222222222,61.4,70.72,82.5,0.0,,,,0.0,0.0,,4.3,0.0,1014.7,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-24,Warangal Urban,21.05555555555556,28.05555555555556,24.55555555555556,63.9,68.13,83.4,0.0,,,,0.0,0.0,,4.3,50.0,1015.2,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-01-25,Warangal Urban,21.05555555555556,28.05555555555556,24.55555555555556,64.6,70.32,83.4,0.0,,,,0.0,0.0,,4.3,85.0,1013.6,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Overcast
2019-01-26,Warangal Urban,21.05555555555556,28.05555555555556,24.55555555555556,66.0,73.92,83.9,2.2,,50.0,,0.0,0.0,,6.2,95.0,1015.2,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Overcast
2019-01-27,Warangal Urban,19.055555555555557,21.05555555555556,20.055555555555557,64.9,89.79,83.66666666666667,0.0,,52.82608695652174,,0.0,0.0,,4.3,100.0,1017.1,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Overcast
2019-01-28,Warangal Urban,18.05555555555556,23.05555555555556,20.55555555555556,62.8,81.65,83.43333333333334,0.0,,55.65217391304348,,0.0,0.0,,6.2,50.0,1018.2,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-01-29,Warangal Urban,15.055555555555555,24.055555555555557,19.55555555555556,50.9,61.96,83.2,0.0,,58.47826086956522,,0.0,0.0,,4.3,0.0,1020.4,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-30,Warangal Urban,11.055555555555555,25.055555555555557,18.05555555555556,47.5,60.81,82.96666666666667,0.0,,61.30434782608695,,0.0,0.0,,4.3,0.0,1020.0,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-31,Warangal Urban,14.055555555555555,14.055555555555555,14.055555555555555,53.9,88.33,82.73333333333333,0.0,,64.13043478260869,,0.0,0.0,,2.5,0.0,1022.1,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-01-31,Warangal Urban,14.055555555555555,28.05555555555556,21.05555555555556,56.3,66.44,82.5,0.0,,66.95652173913044,,0.0,0.0,,4.3,20.0,1018.4,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-01,Warangal Urban,19.33333333333333,28.05555555555556,23.722222222222225,57.8,59.92,81.7,0.0,,69.78260869565217,,0.0,0.0,,4.3,50.0,1016.4,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-02-02,Warangal Urban,18.05555555555556,28.05555555555556,23.05555555555556,60.1,67.17,82.5,0.0,,72.6086956521739,,0.0,0.0,,4.3,0.0,1014.8,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-03,Warangal Urban,19.055555555555557,29.33333333333333,24.22222222222222,60.1,64.3,83.9,0.0,,75.43478260869566,,0.0,0.0,,4.3,0.0,1015.5,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-04,Warangal Urban,19.055555555555557,30.33333333333333,24.722222222222225,60.3,62.06,86.1,0.0,,78.26086956521739,,0.0,0.0,,4.3,0.0,1017.9,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-05,Warangal Urban,19.055555555555557,30.055555555555557,24.55555555555556,56.7,56.65,84.2,0.0,,81.08695652173913,,0.0,0.0,,4.3,0.0,1017.7,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-06,Warangal Urban,19.055555555555557,29.33333333333333,24.22222222222222,60.8,65.33,84.3,0.0,,83.91304347826087,,0.0,0.0,,4.3,15.0,1014.5,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-07,Warangal Urban,19.33333333333333,29.055555555555557,24.22222222222222,62.6,68.36,84.6,0.0,,86.73913043478261,,0.0,0.0,,4.3,30.0,1012.7,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-02-08,Warangal Urban,22.05555555555556,29.055555555555557,25.55555555555556,68.4,74.43,87.4,0.0,,89.56521739130434,,0.0,0.0,,4.3,70.0,1013.8,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-02-09,Warangal Urban,19.055555555555557,26.05555555555556,22.555555555555557,49.8,48.23,84.5,0.0,,92.3913043478261,,0.0,0.0,,4.3,0.0,1016.7,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-10,Warangal Urban,14.055555555555555,28.333333333333336,21.222222222222225,49.0,50.42,81.6,0.0,,95.21739130434783,,0.0,0.0,,4.3,0.0,1019.3,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-11,Warangal Urban,21.05555555555556,30.055555555555557,25.55555555555556,58.6,51.66,87.1,0.0,,98.04347826086956,,0.0,0.0,,4.3,30.0,1016.5,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-02-12,Warangal Urban,22.05555555555556,30.055555555555557,26.05555555555556,66.1,68.87,87.1,0.0,,100.86956521739131,,0.0,0.0,,4.3,40.0,1016.9,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-02-13,Warangal Urban,22.05555555555556,32.05555555555556,27.05555555555556,63.0,62.2,88.3,0.0,,103.69565217391305,,0.0,0.0,,4.3,0.0,1015.9,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-14,Warangal Urban,21.05555555555556,31.33333333333334,26.222222222222225,61.9,63.69,86.7,0.0,,106.52173913043478,,0.0,0.0,,4.3,15.0,1014.7,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-15,Warangal Urban,20.055555555555557,30.055555555555557,25.055555555555557,63.2,65.5,87.1,0.0,,109.34782608695653,,0.0,0.0,,6.2,40.0,1015.0,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-02-16,Warangal Urban,21.05555555555556,32.05555555555556,26.555555555555557,65.7,66.84,91.5,0.0,,112.17391304347827,,0.0,0.0,,6.2,25.0,1014.4,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-17,Warangal Urban,23.05555555555556,31.05555555555556,27.05555555555556,68.2,69.48,90.1,0.0,,115.0,,0.0,0.0,,6.2,40.0,1012.2,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-02-18,Warangal Urban,22.05555555555556,31.05555555555556,26.555555555555557,63.9,67.0,86.4,0.0,,117.82608695652175,,0.0,0.0,,6.2,0.0,1011.1,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-19,Warangal Urban,23.333333333333336,32.333333333333336,27.83333333333333,69.3,69.22,93.8,0.0,,120.65217391304348,,0.0,0.0,,4.3,0.0,1011.8,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-20,Warangal Urban,24.055555555555557,31.05555555555556,27.555555555555557,69.4,68.5,92.2,0.0,,123.47826086956522,,0.0,0.0,,6.2,30.0,1013.5,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-02-21,Warangal Urban,21.05555555555556,33.05555555555556,27.05555555555556,66.8,67.25,94.8,0.0,,126.30434782608695,,0.0,0.0,,6.2,20.0,1013.3,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-22,Warangal Urban,20.055555555555557,35.33333333333333,27.722222222222225,62.8,60.67,95.9,0.0,,129.1304347826087,,0.0,0.0,,6.2,15.0,1012.3,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-23,Warangal Urban,22.05555555555556,35.33333333333333,28.722222222222225,61.7,52.57,95.9,0.0,,131.95652173913044,,0.0,0.0,,4.3,35.0,1011.7,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-02-24,Warangal Urban,22.05555555555556,35.05555555555556,28.55555555555556,54.5,39.03,93.8,0.0,,134.7826086956522,,0.0,0.0,,6.2,15.0,1009.7,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-25,Warangal Urban,21.05555555555556,34.05555555555556,27.555555555555557,60.7,52.06,94.4,0.0,,137.60869565217394,,0.0,0.0,,6.2,0.0,1009.9,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-02-26,Warangal Urban,32.05555555555556,32.05555555555556,32.05555555555556,64.7,43.66,91.5,0.0,,140.43478260869566,,0.0,0.0,,6.2,30.0,1005.3,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-02-27,Warangal Urban,23.05555555555556,27.05555555555556,25.055555555555557,68.3,76.47,82.4,0.0,,143.26086956521738,,0.0,0.0,,4.3,45.0,1009.1,Smoke Or Haze,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-02-28,Warangal Urban,22.333333333333336,30.055555555555557,26.222222222222225,64.4,67.46,85.1,0.0,,146.08695652173913,,0.0,0.0,,6.2,0.0,1009.8,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-03-01,Warangal Urban,22.05555555555556,33.333333333333336,27.722222222222225,63.9,60.41,92.0,0.0,,148.91304347826087,,0.0,0.0,,6.2,15.0,1011.0,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-03-02,Warangal Urban,23.05555555555556,23.05555555555556,23.05555555555556,71.9,94.68,91.6,0.0,,151.73913043478262,,0.0,0.0,,6.2,40.0,1013.7,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-03-02,Warangal Urban,23.05555555555556,31.33333333333334,27.222222222222225,69.2,71.52,91.2,0.0,,154.56521739130437,,0.0,0.0,,6.2,35.0,1011.8,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Partially cloudy
2019-03-03,Warangal Urban,24.055555555555557,32.05555555555556,28.05555555555556,68.4,66.04,92.2,0.0,,157.3913043478261,,0.0,0.0,,6.2,20.0,1010.2,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-03-04,Warangal Urban,23.05555555555556,33.333333333333336,28.22222222222222,69.3,68.2,96.1,0.0,,160.2173913043478,,0.0,0.0,,6.2,15.0,1008.0,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-03-05,Warangal Urban,25.055555555555557,32.333333333333336,28.722222222222225,66.6,61.83,90.1,0.0,,163.04347826086956,,0.0,0.0,,6.2,0.0,1007.1,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
2019-03-06,Warangal Urban,20.055555555555557,20.055555555555557,20.055555555555557,62.0,80.8,91.725,0.0,,165.8695652173913,,0.0,0.0,,6.2,0.0,1010.5,,17.9841,79.602,"Warangal Urban, TS, India","Warangal Urban, TS, India",,Clear
